ACT_SELFHOST_LEXER02_DIRECT_DIFF_CASES=40
OK   dec_0 kind=1/1 end=1/1 i64=0x0/0x0 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   dec_1 kind=1/1 end=1/1 i64=0x1/0x1 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   dec_9 kind=1/1 end=1/1 i64=0x9/0x9 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   dec_10 kind=1/1 end=2/2 i64=0xa/0xa f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=2/2
OK   dec_42 kind=1/1 end=2/2 i64=0x2a/0x2a f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=2/2
OK   dec_123456789 kind=1/1 end=9/9 i64=0x75bcd15/0x75bcd15 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=9/9
OK   hex_0x0 kind=1/1 end=3/3 i64=0x0/0x0 f64=0x0000000000000000/0x0000000000000000 ishex=1/1 err=0/0 slen=3/3
OK   hex_0x1 kind=1/1 end=3/3 i64=0x1/0x1 f64=0x0000000000000000/0x0000000000000000 ishex=1/1 err=0/0 slen=3/3
OK   hex_0x7f kind=1/1 end=4/4 i64=0x7f/0x7f f64=0x0000000000000000/0x0000000000000000 ishex=1/1 err=0/0 slen=4/4
OK   hex_0XFF kind=1/1 end=4/4 i64=0xff/0xff f64=0x0000000000000000/0x0000000000000000 ishex=1/1 err=0/0 slen=4/4
OK   hex_0xdeadbeef kind=1/1 end=10/10 i64=0xdeadbeef/0xdeadbeef f64=0x0000000000000000/0x0000000000000000 ishex=1/1 err=0/0 slen=10/10
OK   hex_0XDEADBEEF kind=1/1 end=10/10 i64=0xdeadbeef/0xdeadbeef f64=0x0000000000000000/0x0000000000000000 ishex=1/1 err=0/0 slen=10/10
OK   hex_0x_empty kind=1/1 end=2/2 i64=0x0/0x0 f64=0x0000000000000000/0x0000000000000000 ishex=1/1 err=0/0 slen=2/2
OK   hex_0xG kind=1/1 end=2/2 i64=0x0/0x0 f64=0x0000000000000000/0x0000000000000000 ishex=1/1 err=0/0 slen=2/2
OK   flt_0_0 kind=2/2 end=3/3 i64=0x0/0x0 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=3/3
OK   flt_1_0 kind=2/2 end=3/3 i64=0x0/0x0 f64=0x3ff0000000000000/0x3ff0000000000000 ishex=0/0 err=0/0 slen=3/3
