ac_id	description	status	evidence_path
AC01	git rev-parse HEAD recorded in c0/c0-entry-identity.txt	PASS	c3-ac01.txt
AC02	make lib-tos is fail-closed	PASS	c3-ac02.txt
AC03	make lib-tos is provenance-strict (HCC_BOOTSTRAP_PROVENANCE_SHA named in error)	PASS	c3-ac03.txt
AC04	Pristine archive has the expected producer identity (under __.SYMDEF)	PASS	c3-ac04.txt
AC05	AC13..AC18 semantic matrices mechanically exercised by make runtime-contract-test	PASS	c3-ac05.txt
AC06	AC13 FREE semantics	PASS	c3-ac06.txt (see also c3-ac05.txt + c3-semantic-matrices.txt)
AC07	AC14 STRNCMP semantics	PASS	c3-ac07.txt
AC08	AC15 MEMSET semantics	PASS	c3-ac08.txt
AC09	AC16 STRLEN_FAST semantics	PASS	c3-ac09.txt
AC10	AC17 SpawnAndCapture ABI frozen	PASS	c3-ac10.txt
AC11	AC18 SpawnAndCapture semantics	PASS	c3-ac11.txt
AC12	N02 negative control isolated	PASS	c3-ac12.txt
AC13	Archive-only consumer link still works	PASS	c3-ac13.txt
AC14	LEXER conservation preserved (make lexer08-trivia-fixedpoint-verify + lexer09-link-fixedpoint-verify PASS)	PASS	c3-ac14.txt
AC15	Factory gates green (make gate-fast)	PASS	c3-ac15.txt
AC16	Patch hygiene (git diff --check 5cbda9b HEAD)	PASS	c3-ac16.txt
AC17	F-NO-PYTHON preserved (no new Python by this ACT)	PASS	c3-ac17.txt
AC18	F-POLYC-TOOLS preserved (shell harness <=50 LOC, PolyC tool)	PASS	c3-ac18.txt
AC19	F14 closed-evidence surfaces untouched (predecessor tree byte-identical)	PASS	c3-ac19.txt
AC20	Worktree clean at C4	PASS	c3-ac20.txt
AC21	Append-only history	PASS	c3-ac21.txt
AC22	Commit topology honors C0-before-C1	PASS	c3-ac22.txt
