src	idx	stem	s0_rc	s1_rc	s2_rc	s3_rc	s0_hash	s1_hash	s2_hash	s3_hash	class	diff
src/holyc-lib/all.HC	1	all	0	0	0	0	ce658c0b61239cd5	ce658c0b61239cd5	ce658c0b61239cd5	ce658c0b61239cd5	BYTE_IDENTICAL_4	NONE
src/holyc-lib/bitvec.HC	2	bitvec	1	1	1	1	0000000000000000	0000000000000000	0000000000000000	0000000000000000	BOTH_FAIL_4	all-fail
src/holyc-lib/builtins.HC	3	builtins	1	1	1	1	0000000000000000	0000000000000000	0000000000000000	0000000000000000	BOTH_FAIL_4	all-fail
src/holyc-lib/coroutines.HC	4	coroutines	1	1	1	1	0000000000000000	0000000000000000	0000000000000000	0000000000000000	BOTH_FAIL_4	all-fail
src/holyc-lib/csv.HC	5	csv	0	0	0	0	f7b278810e18df6a	f7b278810e18df6a	f7b278810e18df6a	f7b278810e18df6a	BYTE_IDENTICAL_4	NONE
src/holyc-lib/date.HC	6	date	0	0	0	0	8583013d69fbbf29	8583013d69fbbf29	8583013d69fbbf29	8583013d69fbbf29	BYTE_IDENTICAL_4	NONE
src/holyc-lib/dir.HC	7	dir	0	0	0	0	ddcd655b18770da6	ddcd655b18770da6	ddcd655b18770da6	ddcd655b18770da6	BYTE_IDENTICAL_4	NONE
src/holyc-lib/except.HC	8	except	0	0	0	0	ee54b044c0744e87	ee54b044c0744e87	ee54b044c0744e87	ee54b044c0744e87	BYTE_IDENTICAL_4	NONE
src/holyc-lib/fzf.HC	9	fzf	0	0	0	0	67e345d2f53c1b77	67e345d2f53c1b77	67e345d2f53c1b77	67e345d2f53c1b77	BYTE_IDENTICAL_4	NONE
src/holyc-lib/hashtable.HC	10	hashtable	0	0	0	0	b283fad1a027aef3	b283fad1a027aef3	b283fad1a027aef3	b283fad1a027aef3	BYTE_IDENTICAL_4	NONE
src/holyc-lib/io.HC	11	io	0	0	0	0	6b4b23777ad6e612	6b4b23777ad6e612	6b4b23777ad6e612	6b4b23777ad6e612	BYTE_IDENTICAL_4	NONE
src/holyc-lib/json.HC	12	json	0	0	0	0	3324be2a80495fff	3324be2a80495fff	3324be2a80495fff	3324be2a80495fff	BYTE_IDENTICAL_4	NONE
src/holyc-lib/list.HC	13	list	0	0	0	0	4be3a31ea1b9ef78	4be3a31ea1b9ef78	4be3a31ea1b9ef78	4be3a31ea1b9ef78	BYTE_IDENTICAL_4	NONE
src/holyc-lib/math.HC	14	math	0	0	0	0	b207efe179b1cc92	b207efe179b1cc92	b207efe179b1cc92	b207efe179b1cc92	BYTE_IDENTICAL_4	NONE
src/holyc-lib/memory.HC	15	memory	0	0	0	0	f315250e52769bac	f315250e52769bac	f315250e52769bac	f315250e52769bac	BYTE_IDENTICAL_4	NONE
src/holyc-lib/net.HC	16	net	0	0	0	0	8d63ad23e55b9091	8d63ad23e55b9091	8d63ad23e55b9091	8d63ad23e55b9091	BYTE_IDENTICAL_4	NONE
src/holyc-lib/set.HC	17	set	0	0	0	0	29643de4d5e4013e	29643de4d5e4013e	29643de4d5e4013e	29643de4d5e4013e	BYTE_IDENTICAL_4	NONE
src/holyc-lib/sqllite.HC	18	sqllite	0	0	0	0	a1e36fa1be078e46	a1e36fa1be078e46	a1e36fa1be078e46	a1e36fa1be078e46	BYTE_IDENTICAL_4	NONE
src/holyc-lib/stat.HC	19	stat	0	0	0	0	ce274464639e6466	ce274464639e6466	ce274464639e6466	ce274464639e6466	BYTE_IDENTICAL_4	NONE
