field	value	evidence
ACT_ID	ACT-POLYC-SELFHOST-PARSER-PADDING-DELEGATE01	ACT body
ENTRY_HEAD	9c6cda6c2a5daa8a52c58baaf66f0f61bf160800	git rev-parse at C0
SUBJECT_FILE	tools/bootstrap/selfhost-parser-padding.HC	freeze
SUBJECT_SHA256	b555b76b484edda5830abba46dbda803a12ec1834f9ab0a64763f5899f2452f3	sha256sum at C3
QUALIFIED_VERIFIER_FILE	tools/quality/parser-padding-algebraic-invariants.HC	freeze
QUALIFIED_VERIFIER_SHA256	bb4c710ef0442b6c6b97afba46be7652dde507a96de7623f58425ff76007cecc	sha256sum at C3
QUALIFIED_PROVENANCE_FILE	tools/quality/parser-padding-generation-provenance-verify.HC	freeze
QUALIFIED_PROVENANCE_SHA256	06bb95d2ccb60e34377f16ec4037e922dd99fecef60744030dc14b58d5713ac3	sha256sum at C3
LEGACY_ORACLE_FILE	tools/quality/parser-padding-oracle-impl.c	freeze
LEGACY_ORACLE_SHA256	42fd18c72dd8159caab0c89d09ce8f2950f2964c7fa4bae89199213a5073b536	sha256sum at C3
SUBJECT_SOURCE_DELTA_AT_C3	0	diff subjects pre/post C2
PRISTINE_SUBJECT_OBJECT_SHA256	187a4de9465e8dbe3c640484b05540daaad4a3267dd1543a169e3c304b02d5b1	sha256sum
PRISTINE_PRODUCTION_BINARY_SHA256	36f16f9d7f5c7c5e0fe6c54b2d811686a34f13178fd48e2f6d2eb01c37e6e181	sha256sum
MUTATED_SUBJECT_OBJECT_SHA256	91664fde3c6ccfe7616de2eda806eb7b9db65efb3205d6a589020a8458f055b0	sha256sum
MUTATED_PRODUCTION_BINARY_SHA256	17e03d9c7a8c4356f4e0191729cb43103bda4f95a5119bd7c88f3ca3db991833	sha256sum
ENTRY_HEAD_LEXER07_MATRIX_SHA256	ee83e375032cf3f39ad8d95838bdd5e4f601fdac3244b7298cf2f68083d3c4fd	sha256sum at entry
C3_DELEGATED_MATRIX_SHA256	ee83e375032cf3f39ad8d95838bdd5e4f601fdac3244b7298cf2f68083d3c4fd	sha256sum at C3
LEXER07_MATRIX_DELTA	0	diff matrix files
ENTRY_HEAD_LEXER07_FAILURES_SHA256	9d8ce2e090a47619a1496df76d2f1efbde47f60f997fc8ad4182f21cf125a29a	sha256sum
C3_DELEGATED_FAILURES_SHA256	9d8ce2e090a47619a1496df76d2f1efbde47f60f997fc8ad4182f21cf125a29a	sha256sum
LEXER07_FAILURES_DELTA	0	diff failures files
