ac_id	exact_predicate	predicate_sha256	mandatory	phase
AC01	C0_AUTH_BEFORE_WORK=YES; WORKTREE_CLEAN_AT_C0=YES	4e7eeba8a14ae8f8aaa0eb4b4d73f7d4c02e430460c3e30b0eb087bd96595a91	YES	C3
AC02	ACT_BODY_CONTAINS_FULL_CONTRACT=YES; ACT_BODY_PLACEHOLDER_SECTIONS=0	522cb6151ea0bca48918fc3fa3da85b9dea0e25fc5bc7af1eee6de8f9e6bdb52	YES	C3
AC03	CORRECTION03_FALSE_GREEN_REPRODUCED=YES; CORRECTION03_COMMIT_COUNT=6	e943d0a08c9b81ab2c2d2e1ec222392ea6af0862294662206ba85430d950219f	YES	C3
AC04	CORRECTION03_HISTORY_IMMUTABLE=YES	59086070a75a59dfe9886fb5a47adc6aac9a504454375e0bceb209f77cf6ad6a	YES	C3
AC05	PRODUCTION_SOURCE_DELTA=0	22dbebc24a696995f2060a71ef850406bb635e9ed672d1c87b4e1de8b0ba8b3c	YES	C3
AC06	POLYC_OUTPUTS_CONSUMED_BY_PRODUCTION=YES	29603345a7b14cb3573ce4a3a64078974d8e93380010835521511e4297a0ecf3	YES	C3
AC07	SELFHOST_DUPLICATE_TARGET_PARSE=0	a0636c57e2526dd8523959b8bb1df66804cadf2c371cb500ebd5ac7de3bd7cbb	YES	C3
AC08	PRODUCTION_AUTHORITY_VERIFY=PASS	5bd949f0ee745415c2bf4b3c9a4e2a74ce16bdc3d2c6a9fd73f3fbd407922167	YES	C3
AC09	DIRECT_DIFFERENTIAL_FAIL=0	1a660fe258c59b66a8192d68533dd92f79688d1f38d410f844fbf3a7db066967	YES	C3
AC10	COMPONENT_PAIR_PASS=6; COMPONENT_PAIR_FAIL=0	1461d52c595b2ff164cf853d0321a61c95ab1f812d17b020ec378b276f822c57	YES	C3
AC11	POST_MIGRATION_PAIR_PASS=3; POST_MIGRATION_PAIR_FAIL=0	69ad3e739aa7aea10c54a844979093d74218b740b10f3083eb9714586e285446	YES	C3
AC12	EXPECTED_MIGRATION_FIXTURE_SET=L07; OBSERVED_MIGRATION_FIXTURE_SET=L07	6c54788dd67da374eb6d2ccf5571411423515e450537909690c7bbd2878d11f7	YES	C3
AC13	NON_MIGRATION_G0_DIVERGENCE_COUNT=0; G0_UNEXPECTED_MIGRATION_PAIR_COUNT=0	1a19dd9fcce046fef4a368c43139fb2f304d7122f67c9e8adcc3c277dc74e941	YES	C3
AC14	L07_G0=lib-complex_1co; L07_G1=lib-complex_1.0; L07_G2=lib-complex_1.0; L07_G3=lib-complex_1.0	e000983b3720b5388bfa8af3b24a04f9adcc748379ed0b3417cb38ab5eed0165	YES	C3
AC15	SEMANTIC_OUTPUT_MUTATION_DETECTED=YES	71ed794f73100117f553188101073fc22b84ef6721ccf6e9750ed8431bb55220	YES	C3
AC16	N02_MUTATED_COMPONENT_BUILD_RC=0; N02_MUTATED_SEAM_LINK_RC=0; N02_MUTATED_SEAM_RUN_RC=0	c922d5f01e2d998a138a64eabaf9d4d85cafca5eaa55d567533bf4b245874077	YES	C3
AC17	N02_MUTATED_COMPONENT_SHA_NONEMPTY=YES; N02_MUTATED_COMPONENT_SHA_DIFFERS=YES; N02_MUTATED_SEAM_SHA_NONEMPTY=YES	50c2121b0608ba0f358c96eb72b83aaef29cba53287ce747af8f6f61b53b569c	YES	C3
AC18	N02_PRODUCTION_DIVERGENCE_DETECTED=YES; N02_UNEXPECTED_DIVERGENCE_COUNT=0	aa3cb19298d0d95a379b62d3a0755ef7bfa69218d8437fc4c068a2a694b58357	YES	C3
AC19	N02_INCOMPLETE_WITNESS_REJECTED=YES	51b22e7b46a3274c0692410db1a2bef26ba2da980e850084d25064701929e793	YES	C3
AC20	LEGACY_BYPASS_CONTROL_PROVES_ARCHITECTURE=YES	c87bc98d352f9f65c9fd96b7213cb4b807a651022a262e5418d67060736730d8	YES	C3
AC21	PROVENANCE_ROW_PASS=4; PROVENANCE_ROW_FAIL=0	05811ddef318cc88f50859a9ccbe527c863699ca8cc9bd6d9f44a6fce01b2432	YES	C3
AC22	GENERATION_COPY_CONTROL_EXECUTED=YES; GENERATION_COPY_DETECTED=YES; GENERATION_COPY_VERIFIER_RC_NONZERO=YES	f18206478252213dfe4fe62c34d5be20c49a9af4ac1e0f250938802b0e09bcea	YES	C3
AC23	AC_IDENTITY_BINDING=PASS	0b223117a6400597d530e0c67eecbacc3165d7dbb6ec556b0eab0d597f057a65	YES	C3
AC24	EVIDENCE_SHA_MISMATCH=0	80787cecf4c4779a6da32ba73153b3aac05785b4e523d964cdb357ff056976d0	YES	C3
AC25	WITNESS_FAIL=0; WITNESS_MISSING=0	bdc0463cf0205312981bc1fd191d2ad3bf2de1ae4e4d67a1f21f1b462bf469a4	YES	C3
AC26	AC_ID_SHUFFLE_DETECTED=YES	b5f87ffce42ef3b539d4ce68b948e3d8c2d6738b9ecd8d14caf3019872907fa1	YES	C3
AC27	EVIDENCE_SHA_MUTATION_DETECTED=YES	6e097473d42d7ded7081cce7211dcc32ff353fc05e704619224979d7dfc90f60	YES	C3
AC28	PREDICATE_LIE_DETECTED=YES	ac6e9c8331850193f85c00d8f61c9f2c518a1888e04c6b4ec8f9183074a1fadd	YES	C3
AC29	LEXER01_CONSERVATION=PASS	f610cddfb72f535e9411dd738f218d961ed48708e4cbccb76475e88467d7fde6	YES	C3
AC30	LEXER02_DIRECT_CONSERVATION=PASS	b388df0f23d999f2f233b300beb7580fda65eafa3d6ecbc848129f58d9f3279d	YES	C3
AC31	LEXER03_CONSERVATION=PASS	16a3e8f9636397f9c3e33e9addc7401942d83dbc3137ea3a2092ae0459688331	YES	C3
