ac_id	witness_id	evidence_path	witness_kind	key	operator	expected_value	mandatory
AC01	w01	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c0/c0-entry-identity.txt	KV	C0_AUTH_BEFORE_WORK	EQ	YES	YES
AC01	w02	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c0/c0-entry-identity.txt	KV	WORKTREE_CLEAN_AT_C0	EQ	YES	YES
AC02	w03	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c0/c0-authorization-integrity.txt	KV	ACT_BODY_CONTAINS_FULL_CONTRACT	EQ	YES	YES
AC02	w04	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c0/c0-authorization-integrity.txt	KV	ACT_BODY_PLACEHOLDER_SECTIONS	EQ	0	YES
AC03	w05	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c1/c1-correction03-defects.tsv	FILE_EXISTS	.	EQ	YES	YES
AC03	w06	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c0/c0-predecessor-reclassification.txt	KV	CORRECTION03_COMMIT_COUNT	EQ	6	YES
AC04	w07	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c0/c0-predecessor-reclassification.txt	KV	CORRECTION03_HISTORY_IMMUTABLE	EQ	YES	YES
AC05	w08	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-production-source-delta.txt	KV	PRODUCTION_SOURCE_DELTA	EQ	0	YES
AC06	w09	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-production-authority.txt	KV	POLYC_OUTPUTS_CONSUMED_BY_PRODUCTION	EQ	YES	YES
AC07	w10	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-production-authority.txt	KV	SELFHOST_DUPLICATE_TARGET_PARSE	EQ	0	YES
AC08	w11	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-production-authority.txt	KV	PRODUCTION_AUTHORITY_VERIFY	EQ	PASS	YES
AC09	w12	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-direct-differential.txt	KV	DIRECT_DIFFERENTIAL_FAIL	EQ	0	YES
