ac_id	predicate_sha256	status	evidence_path	evidence_sha256
AC01	4e7eeba8a14ae8f8aaa0eb4b4d73f7d4c02e430460c3e30b0eb087bd96595a91	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-entry-identity.txt	2a1f9c3c0436139a18d38771d37c1fec7ce8616baa7bd0429e83983235fa8f55
AC02	522cb6151ea0bca48918fc3fa3da85b9dea0e25fc5bc7af1eee6de8f9e6bdb52	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-c2-freeze-replay.tsv	b1ef8ae7a15f4792c85413bcd3ef17f93d2d823c31b4ad721f4fee21939d4973
AC03	e943d0a08c9b81ab2c2d2e1ec222392ea6af0862294662206ba85430d950219f	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-correction03-defects-recheck.tsv	a650417dfacdfdffa3dd5ade92469da4ca1610343d97e029631f5d9db7688385
AC04	59086070a75a59dfe9886fb5a47adc6aac9a504454375e0bceb209f77cf6ad6a	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-f14.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC05	22dbebc24a696995f2060a71ef850406bb635e9ed672d1c87b4e1de8b0ba8b3c	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-required-result.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC06	29603345a7b14cb3573ce4a3a64078974d8e93380010835521511e4297a0ecf3	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-production-authority.txt	713a3b34ab228ed118f311593745507c4760c1f62f2fd88b0d77029277c47c5b
AC07	a0636c57e2526dd8523959b8bb1df66804cadf2c371cb500ebd5ac7de3bd7cbb	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-production-source-delta.txt	5369dfc41aeb7dead835d2da7eb61afa3c3505a8a43060e2ea7b4570064b434c
AC08	5bd949f0ee745415c2bf4b3c9a4e2a74ce16bdc3d2c6a9fd73f3fbd407922167	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-direct-differential.txt	ac1139481166a0fc98a28560608bf0170dabb2524ff44534bf5ac0d3b9215246
AC09	1a660fe258c59b66a8192d68533dd92f79688d1f38d410f844fbf3a7db066967	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-component-fixedpoint.txt	476d84559c8bd307648d888e16a03f69a90de716a1ed177cfe5f883ebf6f6847
AC10	1461d52c595b2ff164cf853d0321a61c95ab1f812d17b020ec378b276f822c57	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-generation-provenance.tsv	c4c74e80d98c30952f9656da42c5f8a432510c861d793a5047ec41b4fbb826c1
AC11	69ad3e739aa7aea10c54a844979093d74218b740b10f3083eb9714586e285446	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-generation-provenance-verify.txt	955c63679bb84c2d9015424b705e4d11832eff6b65b55b38ea3cf272d4494640
AC12	6c54788dd67da374eb6d2ccf5571411423515e450537909690c7bbd2878d11f7	FAIL	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-semantic-postmigration.txt	81f6433a39c30d227486bb42507f31650c4f2079e795a2a7cc54cb57e41780b9
