# ACT-POLYC-SELFHOST-LEXER-SURFACE-RECON01 — C2 — E1..E14 eligibility matrix
# Format: region_id<TAB>E1<TAB>E2<TAB>E3<TAB>E4<TAB>E5<TAB>E6<TAB>E7<TAB>E8<TAB>E9<TAB>E10<TAB>E11<TAB>E12<TAB>E13<TAB>E14<TAB>eligible<TAB>ineligible_reason
R-A	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-
R-B	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-
R-C	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-
R-D	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-
R-E	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-
R-F	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-
R-G	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-
R-H	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-
R-I	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-
R-J	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	NO	E5 violation: Arena*-allocated char* returned across ABI (lexString returns lexerAllocateBuffer()-allocated char* that becomes le->start)
R-K	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-
R-L	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-
